head ent	tail ent	pmi
41071	3722	0.5923496200308902
41071	8853	0.7241190633952569
41071	8855	0.5761359317235961
42983	3722	0.967232581735757
42983	8853	2.0732738775656907
42983	8855	1.6474609698852607
2449	3722	0.20352049012873405
2449	8853	0.3492110642904824
4240	8853	0.316072097263271
4241	3522	1.837431390863816
4241	3961	0.7048232499706589
7464	3522	2.8668372697140327
7464	3961	0.9352181267884482
4254	3522	0.23388372303679186
42842	3522	0.675716475315831
42842	3961	0.08821007947384253
4168	3522	0.49524848717119946
4280	3522	0.17374715741073418
41401	3615	0.2546912810014144
41401	3722	0.388832049359137
41401	3613	0.26549686015312335
41401	3961	0.09846995604793848
41401	8856	0.28564159841929726
4111	3615	0.3173492282787408
4111	3722	0.6069349290091642
4111	3613	0.4457373653962175
4111	3961	0.0929947775971791
4111	8856	0.3903455062400322
99811	3615	0.22080443558655646
99811	3613	0.3288481319868009
99811	3961	0.1691791420075098
9971	3615	0.44988259496425015
9971	3613	0.42801254565189073
9971	3961	0.5165667913838331
2910	3615	0.059792665379352614
2910	3613	0.9181419561794911
2910	3961	0.29584944425208715
V4582	3615	0.30708588553647836
V4582	3722	0.3406891602460046
V4582	3613	0.453595862764519
V4582	3961	0.15829684350378398
V4582	8856	0.30375964102009834
2724	3615	0.20943987014994944
2724	3722	0.33739431210181764
2724	3613	0.2293776581150493
2724	3961	0.17464608245450358
2724	8856	0.23855471569515482
4019	3615	0.17594037769500553
4019	3722	0.2986185876996837
4019	3613	0.20700300772732894
4019	3961	0.15916181544612718
4019	8856	0.20314238153767256
V1582	3615	0.31310709432692585
V1582	3722	0.14304789871747833
V1582	3613	0.3235756042919933
V1582	3961	0.32215212744788885
V1582	8856	0.19544206808783068
E8782	3615	0.8306863413524842
E8782	3613	0.896258610643836
E8782	3961	0.6951795637927355
71941	3615	0.05979266537935282
71941	3722	0.6823954614162073
71941	3613	0.16045625448197456
71941	3961	0.04898936632056127
71941	8856	0.5040771504219005
E8844	3615	0.05979266537935282
E8844	3722	0.3639417302976726
E8844	3613	1.141285507493701
E8497	3615	0.07814180404754933
E8497	3961	0.16759510872840816
42731	3615	0.39712957996191944
42731	3613	0.32219056251933165
42731	3961	0.4428067407109367
30390	3615	0.034474857395062834
30390	3613	0.017355410841301176
45182	3615	0.6788318737855762
45182	3613	0.5816697195582782
45182	3961	0.7131490100072544
42731	3612	0.4246662432114701
42732	3612	0.2822882335184515
